dl,fl1,fl2,fl3,kl,layer,optimizer,train_acc,train_loss,val_acc,val_loss, trainable_params
64,64,0,0,0,1,Adam,0.9258032253808208,0.18275416896756866,0.9179794948737184,0.20191642462044665,92866
64,64,0,0,0,1,Nadam,0.9330541317664708,0.163491749222509,0.9262315578894724,0.18853785012920637,92866
128,64,0,0,0,1,Adam,0.926490811351419,0.17793675937137615,0.9252313078269567,0.18940736218787604,101250
128,64,0,0,0,1,Nadam,0.9252406550893367,0.18542760126604738,0.9187296824206052,0.20372470448533725,101250
16,128,0,0,0,1,Adam,0.9158644830603826,0.21149733374790633,0.9177294323580896,0.20267556744102955,238642
16,128,0,0,0,1,Nadam,0.9224903112889111,0.19543060573458984,0.9197299324980257,0.2123644168256491,238642
32,128,0,0,0,1,Adam,0.9126765845730717,0.21670858825403597,0.9169792448112029,0.19392096250131446,242786
32,128,0,0,0,1,Nadam,0.9265533191648956,0.18056595647654722,0.9227306826706677,0.18745741101503968,242786
64,128,0,0,0,1,Adam,0.9281785223152894,0.17314027083900507,0.9112278069517379,0.21634402133246813,251074
64,128,0,0,0,1,Nadam,0.9313664208100518,0.16431627955447436,0.9289822455613903,0.1773322472298971,251074
128,128,0,0,0,1,Adam,0.9281160144794582,0.17365002826346146,0.9232308077019254,0.18968862738012224,267650
128,128,0,0,0,1,Nadam,0.9206775846757327,0.19550202215764056,0.9227306826706677,0.19098825153931287,267650

