dl,fl1,fl2,fl3,kl,layer,optimizer,train_acc,train_loss,val_acc,val_loss,trainable_params
64,16,16,32,5,2,RMSprop,0.8969871233904239,0.2401919658434944,0.8767191798545683,0.3088860954902088,10530
64,16,16,32,5,3,RMSprop,0.8977997249730723,0.2422335991573745,0.8872218055109824,0.29147141246266234,14146
64,16,16,32,5,1,Adam,0.9047380922689842,0.22136222016090065,0.885471367916485,0.27526330324851683,9234
64,16,16,32,5,2,Adam,0.9010501312440538,0.23006183284754336,0.8854713679015799,0.2809697979165483,10530
64,16,16,32,5,3,Adam,0.9010501312738598,0.2335291559349106,0.8819704926976802,0.2772159453301646,14146
64,16,16,32,5,1,SGD,0.8589198649831229,0.3225607766263007,0.861465366401205,0.3221049834695808,9234
64,16,16,32,5,2,SGD,0.8549818727489947,0.33054702013175863,0.853213303385451,0.33378529409284324,10530
64,16,16,32,5,3,SGD,0.8395424427829962,0.3682615432400661,0.8427106777290369,0.3590518367472336,14146
64,16,16,32,5,1,Nadam,0.9037379672459056,0.22449099518482588,0.8869717430102584,0.2866666369898434,9234
64,16,16,32,5,2,Nadam,0.900987623430577,0.2342408148934877,0.8839709928227115,0.2810296141958201,10530
64,16,16,32,5,3,Nadam,0.9027378422377303,0.228590977237193,0.8844711178539693,0.27010257769805485,14146
128,16,16,32,5,1,RMSprop,0.8990498812351544,0.2388653501212515,0.8844711178539693,0.28297912827072275,10450
128,16,16,32,5,2,RMSprop,0.8959244905687717,0.24185547513363584,0.8837209303070825,0.2919113674974495,11746
128,16,16,32,5,3,RMSprop,0.8979872484135023,0.24427580449495898,0.8862215554633717,0.27669198295717745,16386
128,16,16,32,5,1,Adam,0.9037379672235512,0.22054751821124027,0.8862215554633717,0.27333207656872754,10450
128,16,16,32,5,2,Adam,0.9001125140419035,0.22945521266136426,0.8837209303070825,0.2817801258643885,11746
128,16,16,32,5,3,Adam,0.9012376547142898,0.23543485677947196,0.8879719930578691,0.2704029098976609,16386
128,16,16,32,5,1,SGD,0.8565445680710089,0.3249055561754521,0.8554638660410161,0.3289424871378882,10450
128,16,16,32,5,2,SGD,0.8582322790199763,0.32465190791848275,0.8567141786042557,0.3334037652460448,11746
128,16,16,32,5,3,SGD,0.8478559819753951,0.3496386710331282,0.8537134284167088,0.34173630392232457,16386
128,16,16,32,5,1,Nadam,0.9041130141044114,0.22324748145951254,0.8852213053859511,0.28017923171802234,10450
128,16,16,32,5,2,Nadam,0.9022377797001108,0.2326353295858852,0.8907226807297871,0.26257988952880923,11746
128,16,16,32,5,3,Nadam,0.9013001625426696,0.2352926462277693,0.8792198050257622,0.2883324124688475,16386
16,16,16,64,5,1,RMSprop,0.8975496937191655,0.2398790141439748,0.8837209303070825,0.2847626594177751,8322
16,16,16,64,5,2,RMSprop,0.8936742092836111,0.2475950009091629,0.8764691173538443,0.3088858857858953,9618
16,16,16,64,5,3,RMSprop,0.8999249906014735,0.24225708831659126,0.8877219305571451,0.276503248389407,15570
16,16,16,64,5,1,Adam,0.8979872483836963,0.23378933451819206,0.8787196800094094,0.287779898345694,8322
16,16,16,64,5,2,Adam,0.900612576579523,0.2319184990572041,0.8847211803695982,0.279786882172617,9618
16,16,16,64,5,3,Adam,0.9013626703114372,0.23515072437372336,0.8842210553383404,0.2779281608207013,15570
16,16,16,64,5,1,SGD,0.8542942867634937,0.33143032212632345,0.8514628657909535,0.3363353574117979,8322
16,16,16,64,5,2,SGD,0.8519189898513797,0.33638384017233164,0.8522130533527451,0.33927600959534343,9618
16,16,16,64,5,3,SGD,0.8415426928217016,0.3638602521311031,0.8399599900869287,0.3619436602289601,15570
16,16,16,64,5,1,Nadam,0.903987998477458,0.22242959378819746,0.8832208052758248,0.2814842361559061,8322
16,16,16,64,5,2,Nadam,0.9037379672533572,0.22473688772084907,0.8874718680415162,0.27012087264994616,9618
16,16,16,64,5,3,Nadam,0.9024253031703467,0.2288611354619537,0.8879719930727741,0.2745265582556365,15570
32,16,16,64,5,1,RMSprop,0.8982997874585311,0.23636027379421345,0.8707176794943794,0.3221018104277184,8626
32,16,16,64,5,2,RMSprop,0.8971121390173772,0.2415088509165327,0.8857214304172091,0.2808800442169893,9922
32,16,16,64,5,3,RMSprop,0.8931741467757975,0.2519277880288002,0.8797199300719251,0.2901737871364404,16642
32,16,16,64,5,1,Adam,0.9061132641654712,0.2248613438743072,0.8844711178539693,0.27947175031782656,8626
32,16,16,64,5,2,Adam,0.8999874984224017,0.2321475076703731,0.8887221806196607,0.2799070952578943,9922
32,16,16,64,5,3,Adam,0.9013626703412432,0.23517184580474484,0.8904726182141581,0.2736957855122064,16642
32,16,16,64,5,1,SGD,0.8631078884935123,0.317505288018273,0.8594648663059835,0.321234186460567,8626
32,16,16,64,5,2,SGD,0.8480435054530828,0.33729063412415594,0.8577144286667714,0.3324178101033323,9922
32,16,16,64,5,3,SGD,0.8254156769447171,0.3941148055025989,0.8252063016350134,0.3993869760195056,16642
32,16,16,64,5,1,Nadam,0.9017377172221034,0.2271143227670324,0.8789697425101334,0.29643320434389786,8626
32,16,16,64,5,2,Nadam,0.9011751469008132,0.2321124602621951,0.8799699925577441,0.2822207632691421,9922
32,16,16,64,5,3,Nadam,0.9023627953494188,0.2299387209980857,0.8849712428852271,0.2690240639646401,16642
64,16,16,64,5,1,RMSprop,0.8994874359071366,0.23559302959699666,0.8862215554633717,0.2738617714433916,9234
64,16,16,64,5,2,RMSprop,0.8969871233680693,0.2440968704217672,0.8839709928078066,0.2765122662189157,10530
64,16,16,64,5,3,RMSprop,0.9005500687436918,0.2407786565951436,0.8769692423701972,0.3132756689200553,18786
64,16,16,64,5,1,Adam,0.9023627953494188,0.2258332819286801,0.8899724932127101,0.27185205677414753,9234
64,16,16,64,5,2,Adam,0.9013001624979604,0.23223823341824495,0.8874718680415162,0.2764703062034363,10530
64,16,16,64,5,3,Adam,0.9008000999975986,0.2349935249658447,0.885471367916485,0.2761122153778021,18786
64,16,16,64,5,1,SGD,0.8568571071160378,0.3269747234177688,0.8602150538379653,0.3232294919416886,9234
64,16,16,64,5,2,SGD,0.8553569196224033,0.3345539860668622,0.8524631158683741,0.3345287520010849,10530
64,16,16,64,5,3,SGD,0.8461057632204025,0.35600983476002435,0.8509627407746007,0.3440945660748998,18786
64,16,16,64,5,1,Nadam,0.9018627328416052,0.22916226990959665,0.8904726182290631,0.2766851992510533,9234
64,16,16,64,5,2,Nadam,0.9037379672533572,0.2283915530851572,0.8904726182290631,0.2654323555821626,10530
64,16,16,64,5,3,Nadam,0.9010501312664084,0.2311241874809652,0.8817204301820514,0.2736176012247376,18786
128,16,16,64,5,1,RMSprop,0.8970496312039005,0.23624258596649886,0.8864716179640957,0.2978245043909589,10450
128,16,16,64,5,2,RMSprop,0.8974871858833342,0.24091746812053644,0.8832208052609198,0.2908414227868891,11746
128,16,16,64,5,3,RMSprop,0.8958619827478435,0.24772193592080385,0.8707176795241892,0.3219050827489015,23074
128,16,16,64,5,1,Adam,0.904488061007626,0.22313483123675573,0.8867216804797245,0.2738013089701783,10450
128,16,16,64,5,2,Adam,0.8973621702861869,0.2356696668502345,0.8407101776189105,0.4208780118646429,11746
128,16,16,64,5,3,Adam,0.8961120139793957,0.243513515249597,0.8814703676664224,0.2741375776507551,23074
128,16,16,64,5,1,SGD,0.8609826228278534,0.32251844733137536,0.8602150538379653,0.3280043563237039,10450
128,16,16,64,5,2,SGD,0.8548568570847839,0.33002434858516955,0.8499624906971801,0.327072183738264,11746
128,16,16,64,5,3,SGD,0.8552944118089267,0.34355373336890593,0.8634658665411411,0.3273853922104889,23074
128,16,16,64,5,1,Nadam,0.9019252406327274,0.22679894528831304,0.8857214304321138,0.2708429163002795,10450
128,16,16,64,5,2,Nadam,0.9058007250757332,0.2246208619119108,0.8874718680415162,0.26821745527061885,11746
128,16,16,64,5,3,Nadam,0.9003625452958103,0.23437069886989156,0.8837209303070825,0.2778544894201393,23074
16,16,16,128,5,1,RMSprop,0.8986123265557207,0.23937253315704496,0.8809702426202597,0.2843107635168828,8322
16,16,16,128,5,2,RMSprop,0.9009876234603832,0.23550376770332135,0.888222055588403,0.2791872192290641,9618
16,16,16,128,5,3,RMSprop,0.8938617327016866,0.253321652362713,0.8847211803695982,0.2780236721515775,21778
16,16,16,128,5,1,Adam,0.9005500687436918,0.2301696525121245,0.8769692423851021,0.2898378885740279,8322
16,16,16,128,5,2,Adam,0.9016752094011752,0.2355580124419575,0.8909727432454159,0.2691382135367745,9618
16,16,16,128,5,3,Adam,0.8995499437504194,0.2388165377360804,0.8877219305571451,0.2707852365658205,21778
16,16,16,128,5,1,SGD,0.8618577321941725,0.3159202454943019,0.8592148037754497,0.3228488012116144,8322
16,16,16,128,5,2,SGD,0.8614826853431184,0.3216200967381367,0.8607151788692231,0.31848377938805955,9618
16,16,16,128,5,3,SGD,0.855731966510715,0.3375871012375972,0.8214553639303895,0.4054696202188708,21778
16,16,16,128,5,1,Nadam,0.8996124515564445,0.22755786075495096,0.882720680244567,0.28523139646274503,8322
16,16,16,128,5,2,Nadam,0.904675584448056,0.22170814883710446,0.8859714929477427,0.2663374515541436,9618
16,16,16,128,5,3,Nadam,0.8988623577798213,0.23447226569688026,0.8849712428703222,0.3003717146051857,21778
32,16,16,128,5,1,RMSprop,0.8980497562046245,0.23675382353206145,0.8809702426500695,0.28725870997347097,8626
32,16,16,128,5,2,RMSprop,0.8966120765170152,0.2435809215557532,0.8844711178688742,0.2774120823431981,9922
32,16,16,128,5,3,RMSprop,0.8990498812127998,0.24427699549061935,0.8819704926827754,0.2928808490375663,23874
32,16,16,128,5,1,Adam,0.9009251156394548,0.2276691627043801,0.8904726182141581,0.272660790867852,8626
32,16,16,128,5,2,Adam,0.8991123890486311,0.23887477759264875,0.8784696174639707,0.30436104327388097,9922
32,16,16,128,5,3,Adam,0.8981122640181011,0.23924309878159145,0.8869717430102584,0.27139404740265594,23874
32,16,16,128,5,1,SGD,0.8662957869510172,0.3086421370584527,0.8667166792443168,0.31399154147376834,8626
32,16,16,128,5,2,SGD,0.8547943493085647,0.3353950572931881,0.8554638660261111,0.33315804747528777,9922
32,16,16,128,5,3,SGD,0.8541692711365403,0.3386416298823143,0.8554638660261111,0.3345837424206239,23874
32,16,16,128,5,1,Nadam,0.9034254281561678,0.2223813447839082,0.8854713679015799,0.28248050745188164,8626
32,16,16,128,5,2,Nadam,0.9020502562671322,0.22953355868043926,0.8884721180891271,0.27257322583177085,9922
32,16,16,128,5,3,Nadam,0.9029878734841856,0.22957707530581245,0.8897224306821764,0.2653585964812431,23874
64,16,16,128,5,1,RMSprop,0.8982997874734342,0.2379622712632629,0.8874718680415162,0.2745496641027537,9234
64,16,16,128,5,2,RMSprop,0.895736967105987,0.2437506501325027,0.8814703676664224,0.2887214368121211,10530
64,16,16,128,5,3,RMSprop,0.8983622952645564,0.24563497602045425,0.8829707427601958,0.2984005629748039,28066
64,16,16,128,5,1,Adam,0.90567570944878,0.21960384589643805,0.8849712428703222,0.2857481776702908,9234
64,16,16,128,5,2,Adam,0.9034254281859738,0.22890317368777874,0.8749687422451659,0.29687365610082617,10530
64,16,16,128,5,3,Adam,0.8999249906014735,0.2374997957739879,0.8754688672913287,0.3049983570995436,28066
64,16,16,128,5,1,SGD,0.8589198649905744,0.3211836828218578,0.8577144286667714,0.3207869105531025,9234
64,16,16,128,5,2,SGD,0.857419677467134,0.3294326789152743,0.8594648663059835,0.3320190635851903,10530
64,16,16,128,5,3,SGD,0.8513564195375408,0.3432872349403101,0.8532133034152608,0.33667422318703005,28066
64,16,16,128,5,1,Nadam,0.9028003500214008,0.2242074922939914,0.8922230558384654,0.2782654239330091,9234
64,16,16,128,5,2,Nadam,0.9016752093788206,0.2281330432433131,0.8814703676664224,0.280473729962109,10530
64,16,16,128,5,3,Nadam,0.9023627953494188,0.2308264986790856,0.8879719930727741,0.28919052788542937,28066
128,16,16,128,5,1,RMSprop,0.8966120764872092,0.23564495218833664,0.8812203051358887,0.2944324966310471,10450
128,16,16,128,5,2,RMSprop,0.8951118889935747,0.2469509837291795,0.869217304400606,0.3186941878531509,11746
128,16,16,128,5,3,RMSprop,0.8958619827478435,0.2510465916554948,0.8739684921975552,0.31816626900015665,36450
128,16,16,128,5,1,Adam,0.9039879985072641,0.22185342013183898,0.8872218055109824,0.2726316654881885,10450
128,16,16,128,5,2,Adam,0.9009251156394548,0.23227215586047364,0.8814703676664224,0.2832323668240964,11746
128,16,16,128,5,3,Adam,0.898924865623104,0.2424278647650151,0.8842210553383404,0.27815529938100664,36450
128,16,16,128,5,1,SGD,0.8616077009700719,0.322874380966502,0.8574643661660473,0.3355426463105435,10450
128,16,16,128,5,2,SGD,0.8595449430955352,0.32439223359019803,0.8609652413848521,0.3276688585164518,11746
128,16,16,128,5,3,SGD,0.8449806225554677,0.35770362317524845,0.8479619905721488,0.3467640869913771,36450
128,16,16,128,5,1,Nadam,0.9020502562671322,0.225598467590064,0.8869717430102584,0.2728994848520108,10450
128,16,16,128,5,2,Nadam,0.9035504438129272,0.2260373614813212,0.8897224306821764,0.26972154782217245,11746
128,16,16,128,5,3,Nadam,0.8997374671908495,0.23756346914645715,0.8829707427601958,0.27306622759375937,36450
16,16,32,16,5,1,RMSprop,0.8987998499812476,0.2349286092726316,0.8832208052609198,0.2844058700459216,8322
16,16,32,16,5,2,RMSprop,0.8986123265482692,0.2413295260283005,0.8839709928078066,0.2839711016567089,11170
16,16,32,16,5,3,RMSprop,0.8976122015102876,0.2457165287902824,0.8799699925726491,0.2866255066772794,13490
16,16,32,16,5,1,Adam,0.9019877484760099,0.2271752129159267,0.8884721181040318,0.2715720071229794,8322
16,16,32,16,5,2,Adam,0.8980497562195274,0.2354575266346945,0.8907226807446921,0.2636738928162059,11170
16,16,32,16,5,3,Adam,0.8982372796674091,0.23932631428554094,0.8839709928227115,0.27114504024248537,13490
16,16,32,16,5,1,SGD,0.8616702087537425,0.3159242785488133,0.863965991572399,0.319858052531431,8322
16,16,32,16,5,2,SGD,0.8470433804300044,0.346826527286789,0.8559639910722738,0.3372825485493249,11170
16,16,32,16,5,3,SGD,0.8345418177421189,0.3721143278289935,0.8512128032902295,0.3508485906509853,13490
16,16,32,16,5,1,Nadam,0.9049881235005364,0.22082593058113573,0.8754688672913287,0.3025246922576031,8322
16,16,32,16,5,2,Nadam,0.906175771978948,0.22222664504535408,0.8804701176188117,0.2862724113848902,11170
16,16,32,16,5,3,Nadam,0.9036129516189524,0.22550574433864665,0.8857214304321138,0.27185010006798005,13490
32,16,32,16,5,1,RMSprop,0.8976122015102876,0.2381479268685656,0.8802200550733729,0.29076381878394963,8626
32,16,32,16,5,2,RMSprop,0.8962370296063491,0.24263767542831896,0.8814703676664224,0.2837598421747132,11730
32,16,32,16,5,3,RMSprop,0.8937367170896362,0.2505877215020775,0.8799699925577441,0.29376273708630873,13794
32,16,32,16,5,1,Adam,0.8996124515564445,0.23001333495995774,0.8872218055109824,0.2747560682953164,8626
32,16,32,16,5,2,Adam,0.8991748968695593,0.2316933791925645,0.8862215554633717,0.2692043673518181,11730
